# from Sánchez-Lavega2003and Seager
# Component  ln(C)bars L0Jg-1 Rv da db/2 
SO4H2  16.256	865.8  	0.0848    0      0
H2O    25.096	3148.2 	0.4615 	  0      -8.7E-3
CO2    26.100	639.6  	0.189  	  0      -1.7E-3
NH3    27.863	2016   	0.488  	  -.888  0
NH4SH  75.678	2915.7 	0.1627    -1.760 7.8E-4
CH4    1.627	553.1  	0.5183	  1.002  -4.1E-3
SH2    17.064	747    	0.244  	  0      0
C2H6   10.136 	521.4  	0.276  	  0      0
Fe     1.894	7097   	0.149  	  0      0
MgSiO3 11.554	4877.5 	0.0828    0      0
